time,distance,ground_forward,cross,altitude,vertical_speed,lateral_velocity,heading_error_deg,roll_deg,a0,a1,a2,a3
18.974999999999998,117.17556339186984,116.77870370724237,-3.767838418279233,299.6928044413744,0.3807275661434776,0.04607015730485553,-0.06172102949700589,-2.708746203204863,-0.5430295467376709,-0.03591696545481682,-0.23000000417232513,0.0
19.05,118.00737852226622,117.61011775966371,-3.766794892726984,299.7214267512063,0.382519446036907,0.05076920415435279,-0.0613382938456654,-2.708501127958907,-0.5442641377449036,-0.03609529882669449,-0.23000000417232513,0.0
19.125,118.84013060982646,118.4424749581944,-3.765396240510697,299.75018040213354,0.3842298853205537,0.05548518754330328,-0.061000479341860425,-2.708263544557516,-0.5455039739608765,-0.03626852482557297,-0.23000000417232513,0.0
19.2,119.67380224674159,119.2757577903599,-3.7636415971480153,299.7790592698293,0.3858584308881941,0.06021894512364026,-0.0607157959947984,-2.708033923658572,-0.5467488765716553,-0.03643661364912987,-0.23000000417232513,0.0
19.275,120.5083762295899,120.1099489355003,-3.7615301406686217,299.80805719742193,0.38740466179554056,0.06497102735295535,-0.06049127391479274,-2.7078127668063887,-0.5479987859725952,-0.03659958019852638,-0.23000000417232513,0.0
19.349999999999998,121.3438355601191,120.9450312880957,-3.759061125609657,299.8371679824859,0.38886818371929155,0.06974168337674394,-0.06033265955621564,-2.7076005947663178,-0.5492537021636963,-0.036757420748472214,-0.23000000417232513,0.0
19.425,122.18016344479402,121.78098795517559,-3.7562338702681073,299.86638542259925,0.3902486301539489,0.07453085276532506,-0.06024433586038552,-2.7073979342508667,-0.550513505935669,-0.036910127848386765,-0.23000000417232513,0.0
19.5,123.01734329484347,122.61780224854061,-3.753047773696393,299.8957032762928,0.39154566174488625,0.07933816277611114,-0.06022926734336693,-2.7072053071898114,-0.5517781972885132,-0.037057701498270035,-0.23000000417232513,0.0
19.575,123.85535872597087,123.45545768994856,-3.7495022987064983,299.9251152630304,0.3927589643906232,0.08416293123933108,-0.06028897048253821,-2.707023218626167,-0.5530477166175842,-0.03720014914870262,-0.23000000417232513,0.0
19.65,124.6941935577888,124.29393800333565,-3.745596993114664,299.9546151055629,0.3938882630804251,0.08900417554418028,-0.060423510015341866,-2.706852146233102,-0.5543217658996582,-0.03733748570084572,-0.23000000417232513,0.0
